,smiles,score,likelihood
50,CC(O)Cc1ccccc1,2651.4211,-13.599719
51,Cc1ccc(Cl)cc1Cl,2636.5886,-9.382326
52,CCOCCNC(Cc1ccccc1)CC1CC(Cc2ccccc2)CCN1,2544.1414,-37.819107
53,CCCNCc1ccc(O)c(OC)c1,2535.9775,-19.418785
54,CCN=Cc1ccccc1C(=O)Cc1ccccc1Cl,2509.8499,-24.164486
55,COc1ccccc1,2466.2979,-8.505175
56,CCOc1ccccc1O,2434.2837,-9.819941
57,CCC(c1ccc(Br)cc1)c1cnsc1C(=O)c1ccco1,2430.4568,-28.802849
58,CCOc1ccccc1C(=O)NC(=O)c1ccccc1,2421.376,-16.108345
59,CCC(c1cccc(C(F)(F)F)c1)NCc1ccccc1,2415.931,-21.364344
60,CCCc1ccccc1,2412.8916,-10.596521
61,COc1ccccc1NC(=O)c1ccccc1Cl,2394.6738,-12.353114
62,N=c1[nH]cnc(C2CCOCC2)n1,2352.7954,-25.588444
63,COc1ccc(O)cc1OC(C)C,2350.2896,-15.828361
64,Cc1cc(=O)occ1OCCN(Cc1ccc(C(F)(F)F)cc1)C(=O)NOc1ccccc1,2340.305,-42.88491
65,Cc1ccccc1NC(=O)c1ccc(O)cc1,2334.9414,-12.65774
66,COc1ccc(OC2CCC2)c1=O,2314.2197,-18.469387
67,COc1ccc(CNc2cccc(Cl)c2)cc1,2293.6238,-15.898406
68,CCOCC1c2ccccc12,2287.0566,-14.896462
69,CCCCc1ccc(Cl)cc1Cl,2284.364,-10.1208315
70,Cc1cccc2cccc2c1c1c(Br)cccc1Cl,2272.9224,-37.934933
71,CCOCC(C)CCCn1nnnc1,2270.9832,-23.249807
72,COc1ccccc1C(=O)c1cccc(O)c1,2250.8962,-14.163668
73,Cc1cccc(C2CC(=O)NCc3ccccc3)c1O2,2249.799,-29.001589
74,Cc1ccc(C=CC(=O)Nc2ccccc2)cc1,2246.3018,-15.376194
75,COc1ccc(NCc2ccccc2)cc1,2239.2976,-13.55071
76,COc1ccccc1S(=O)(=O)Nc1ccccc1,2227.1033,-14.252531
77,CNC1(C)c2ccccc21,2217.3906,-18.136206
78,Cc1ccccc1NC(=O)Nc1ccccc1,2216.5583,-12.702202
79,Cc1cccc(NC(=O)c2ccccc2)c1-c1ccccc1,2204.5935,-17.674156
80,Cc1cc(C)nc(C(F)(F)F)c1Cc1ccccc1O,2199.7285,-25.402866
81,COc1ccc(C(=O)Nc2ccccc2Cl)cc1,2195.0498,-13.966612
82,CCc1ccc(OCc2ccccc2)cc1,2194.8965,-11.018754
83,COc1ccc([N+](=O)[O-])cc1,2191.921,-11.368151
84,CCc1ccccc1NC(=O)c1ncccc1Cl,2190.9905,-17.518593
85,O=C(COc1ccc(Cl)cc1)Nc1ccccc1,2190.208,-14.608739
86,COc1ccccc1C(=O)Nc1ccccc1O,2181.5208,-14.493044
87,COCCOc1ccccc1C1=NCC(N)(C)C(=O)NC1c1ccc(Cl)c(Cl)c1NC(=O)c1ccccc1,2167.832,-47.93682
88,COc1ccccc1NC(=O)c1ncccc1N,2165.0898,-20.121143
89,Cc1ccc(C2=CCCC2)cc1NC(=O)c1ccc(O)cc1,2159.6768,-26.477665
90,CCc1ccccc1NC(=O)c1cnccc1,2139.7712,-15.673055
91,CCc1ccccc1NC(=O)c1ccc(O)cc1,2137.2668,-14.987311
92,O=C(Cc1ccc(Cl)cc1)N(C)c1ccccc1,2131.6118,-22.67664
93,CCOc1ccccc1NC(=O)c1ccccc1,2131.4111,-12.588107
94,CCn1cc(Cc2ccccc2)cc1Br,2117.335,-20.184355
95,Cc1ccccc1NC(=O)c1ccccc1,2110.6128,-10.507797
96,CNCCc1ncccc1,2104.602,-15.551714
97,CNC(=O)c1ccccc1NC(=O)c1ccccc1,2094.9429,-14.144811
98,CNc1cccc(O)c1O,2091.8887,-16.422615
99,COc1ccc(C)c(C(F)(F)F)c1NC(=O)Cc1ccc(O)cc1,2076.0173,-25.463875
100,COc1ccc(Br)cc1OCc1ccc(C#N)cc1,2072.7527,-18.026865
101,COc1ccc(CCNCc2ccc(C(F)(F)F)cc2)cc1O,2068.8613,-27.24339
102,COc1ccccc1NCCOc1ccccc1,2057.5352,-15.443393
103,COc1ccccc1S(=O)(=O)N=Nc1ccc(Cl)cc1,2040.3756,-18.16083
104,Cc1ccccc1C(=O)Nc1cccc(O)c1,2031.054,-14.201914
105,Cc1ccccc1NC(CC)C(=O)c1ccccc1,2027.5905,-18.880987
106,COc1ccc(C=NC(=O)c2cccc(F)c2)cc1,2023.5111,-16.745016
107,O=C(c1ccccc1)c1ccccc1,2019.286,-11.289427
108,O=C(c1ccccc1Cl)Nc1ccccc1,2011.0145,-15.788123
109,CCOc1ccccc1,2006.9888,-9.89709
110,O=C(c1ccccc1)C1CCC1Nc1ccccc1,2005.0128,-22.181232
111,COc1ccc(O)c(N=c2[nH]cccc2Cl)c1,2001.1466,-20.52417
112,COc1ccc(C2OCC2Nc2ccccc2)cc1,1998.6761,-31.66686
113,Cc1ccccc1NC(=O)Cc1ccccc1,1996.0083,-14.07039
114,CC(COc1ccccc1NC(=O)c1ccc(O)cc1)c1ccccc1,1994.437,-22.020594
115,N=C(CCc1ccccc1)c1ccccc1,1993.0254,-16.890491
116,Cc1ccccc1NCc1ccc(OC)c(O)n1,1989.5731,-24.948448
117,CCc1ccc(C=Cc2cc(C)ncc2O)cc1Cl,1981.6553,-26.792175
118,Cc1ccccc1NC(=O)c1ncc(O)cc1,1981.6206,-21.478651
119,CCC(CNC(=O)c1ccccc1)c1ccccc1,1980.7162,-14.302339
120,COc1ccccc1NC(=O)c1ccccc1,1979.918,-10.02434
121,CCc1ccccc1,1977.5472,-8.298108
122,COc1ccc(F)cc1Nc1ccccc1O,1976.5647,-19.895386
123,Cc1ccccc1NCc1ccccc1O,1972.1487,-16.743893
124,Cc1cc(C)ccc1NC(=O)CC1CCCCC1,1966.5448,-22.139025
125,Cc1cccc(-c2cccc(C)c2-c2ccccc2)n1,1965.9003,-20.579193
126,COc1ccccc1C(C)c1ccccc1,1949.483,-14.870762
127,COc1ncccc1Oc1ccccc1,1946.2318,-24.208181
